Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
OR5T3	2	-0.34624	-2.7224	0.36177	0.91156	0.00648	0.020677	-0.33225	-2.621	0.37477	0.9095	0.0087676	0.027519	0.031788	0.26092	0.58658	0.96175	0.79415	0.86259	-0.37755	-2.8643	0.27038	0.86658	0.0041788	0.015114
MDGA1	3	0.082576	0.77548	0.38234	0.92336	0.43805	0.57777	-0.033003	-0.30805	0.71575	0.97064	0.75804	0.84513	-0.062729	-0.59578	0.90556	0.99191	0.55133	0.67242	0.0036914	0.033503	0.65821	0.97114	0.97327	0.98406
CCNG2	4	-0.11546	-1.1694	0.97464	0.99833	0.24225	0.37454	-0.13137	-1.3318	0.93161	0.99413	0.18294	0.30712	-0.18704	-1.9335	0.6905	0.97606	0.053178	0.11243	-0.039012	-0.38456	0.80669	0.98789	0.70056	0.80121
OR4L1	2	0.11303	0.89503	0.30985	0.89335	0.37077	0.51266	0.077143	0.61052	0.36514	0.90584	0.54152	0.67525	-0.15841	-1.2584	0.77692	0.98192	0.20826	0.32776	0.13483	1.044	0.29131	0.87222	0.2965	0.44079
KCTD14	4	-0.11601	-1.1361	0.97255	0.99833	0.2559	0.38991	-0.071195	-0.70168	0.85315	0.98892	0.48288	0.62265	0.12848	1.3128	0.32675	0.8977	0.18924	0.30463	-0.0015586	-0.014916	0.67811	0.97382	0.9881	0.99272
ITGA4	4	-0.0074342	-0.074988	0.65313	0.96759	0.94022	0.96397	-0.0012498	-0.01264	0.607	0.95881	0.98991	0.99419	0.1478	1.54	0.28602	0.88983	0.12356	0.21883	-0.066319	-0.64369	0.90307	0.99618	0.51977	0.65789
TOP2B	3	-0.024515	-0.19414	0.71097	0.97647	0.84606	0.90119	0.105	0.84236	0.29652	0.88513	0.39959	0.5457	-0.098909	-0.79934	0.9708	0.99839	0.42409	0.5559	0.032046	0.24678	0.56665	0.95428	0.80508	0.87555
ZBTB48	4	-0.12244	-1.3533	0.95085	0.99725	0.17595	0.29461	-0.16031	-1.7705	0.83325	0.98512	0.076643	0.15823	-0.074376	-0.84137	0.94622	0.99599	0.40014	0.53374	-0.16081	-1.7198	0.781	0.9844	0.085472	0.1726
MRPS34	4	-0.45043	-4.6441	0.21141	0.84369	3.42E-06	2.71E-05	-0.37277	-3.8832	0.3022	0.88624	0.00010307	0.00060472	-0.087244	-0.9503	0.99001	0.99918	0.34196	0.47611	-0.19302	-1.9709	0.68238	0.97504	0.048732	0.11164
ESM1	6	-0.3726	-5.266	0.31706	0.89569	1.39E-07	1.45E-06	-0.33784	-4.7946	0.36445	0.90584	1.63E-06	1.47E-05	-0.38074	-5.4869	0.26751	0.88983	4.09E-08	5.10E-07	-0.31122	-4.303	0.3848	0.91344	1.69E-05	0.00013665
CASP8	9	0.017596	0.29894	0.56731	0.95389	0.76499	0.84424	0.032199	0.54832	0.49368	0.94096	0.58347	0.70979	0.14596	2.5362	0.28959	0.88983	0.011207	0.03166	0.068675	1.1447	0.45683	0.93552	0.25231	0.39189
ZNF605	6	-0.13668	-1.9606	0.90458	0.99475	0.049923	0.11015	-0.12029	-1.7298	0.97174	0.99747	0.083675	0.16924	-0.070408	-1.0301	0.9322	0.99536	0.30298	0.43506	-0.083119	-1.1693	0.96149	0.99884	0.24228	0.38058
LAMB3	4	-0.080424	-0.80701	0.90484	0.99475	0.41966	0.56055	0.036111	0.36602	0.48134	0.93673	0.71435	0.81328	-0.12766	-1.3052	0.87583	0.98983	0.19181	0.30771	-0.16932	-1.6375	0.75457	0.98399	0.10152	0.19724
POLE	4	-0.12454	-1.3471	0.94431	0.99678	0.17795	0.29708	-0.04737	-0.51625	0.76688	0.97966	0.60568	0.72765	-0.16279	-1.7955	0.76328	0.98086	0.072582	0.1441	-0.11812	-1.2411	0.92076	0.99689	0.21458	0.34719
SUPT7L	4	-0.12785	-1.3874	0.93338	0.99661	0.16532	0.28115	-0.17373	-1.8827	0.78937	0.98188	0.05974	0.13014	-0.043293	-0.48217	0.83854	0.98899	0.62969	0.73733	-0.10216	-1.0791	0.97414	0.99913	0.28056	0.42313
PINK1	3	0.22279	1.9267	0.12501	0.75916	0.054019	0.11703	0.13778	1.1864	0.22858	0.862	0.23546	0.37181	-0.10443	-0.90315	0.95216	0.99696	0.36644	0.50146	0.021524	0.17715	0.59976	0.96035	0.85939	0.91224
SLC4A2	4	-0.074068	-0.97651	0.88329	0.99461	0.32881	0.47011	0.0017442	0.023058	0.5952	0.95666	0.9816	0.98937	-0.027318	-0.36329	0.78376	0.98234	0.71639	0.80393	-0.12006	-1.5622	0.9145	0.99672	0.11824	0.22148
KRT73	2	-0.0010366	-0.0057556	0.63254	0.96217	0.99541	0.99813	-0.050773	-0.2812	0.77911	0.98112	0.77856	0.85888	-0.42153	-2.315	0.21472	0.86315	0.020614	0.051965	0.087114	0.46806	0.40605	0.92053	0.63974	0.75607
TRIM52	4	-0.63001	-6.9433	0.077926	0.67854	3.83E-12	7.73E-11	-0.57407	-6.3698	0.096389	0.72698	1.89E-10	3.31E-09	-0.58338	-6.6119	0.082921	0.73377	3.80E-11	7.82E-10	-0.64769	-6.9006	0.053447	0.65316	5.18E-12	1.56E-10
CACNA2D1	4	0.13566	1.4721	0.26089	0.87433	0.141	0.24854	-0.036484	-0.39197	0.72799	0.97247	0.69508	0.79945	0.25313	2.8137	0.12556	0.78212	0.0048974	0.015936	0.21109	2.2454	0.15914	0.80604	0.024741	0.065269
NCSTN	2	0.07871	0.63643	0.39214	0.92773	0.5245	0.65455	-0.089841	-0.72041	0.91874	0.99264	0.47127	0.61216	0.045674	0.37475	0.54392	0.95117	0.70785	0.79744	0.01862	0.14658	0.60901	0.96265	0.88347	0.92746
TMEM175	6	-0.42073	-5.4016	0.24722	0.86485	6.61E-08	7.29E-07	-0.29579	-3.8499	0.45107	0.92816	0.00011816	0.00067995	-0.27018	-3.604	0.47264	0.93621	0.00031334	0.0015195	-0.31282	-3.917	0.38169	0.91344	8.97E-05	0.00057967
CST3	3	-0.055565	-0.4641	0.81849	0.98809	0.64258	0.75187	0.20361	1.7423	0.12817	0.77972	0.081451	0.16592	0.26804	2.3483	0.11099	0.76686	0.018861	0.048327	0.27986	2.3344	0.087089	0.72042	0.019573	0.054144
RNF150	5	0.25709	2.9906	0.091084	0.70622	0.0027841	0.010171	0.16924	1.9606	0.17573	0.83383	0.049922	0.11287	0.31719	3.7723	0.072656	0.71749	0.00016177	0.00085006	0.2392	2.7046	0.12488	0.77569	0.0068378	0.022822
KIF3A	3	-0.21605	-1.8382	0.66191	0.9684	0.066036	0.13738	-0.24375	-2.0738	0.58083	0.95479	0.0381	0.091075	-0.50605	-4.321	0.13205	0.79263	1.55E-05	0.00010866	-0.29118	-2.3605	0.42652	0.92823	0.018251	0.051152
TCEB1	4	-0.29089	-3.3725	0.47293	0.93934	0.00074497	0.0032811	-0.35561	-4.1124	0.33137	0.89419	3.92E-05	0.00025456	-0.090758	-1.0825	0.9982	0.99963	0.27901	0.40948	-0.083879	-0.96286	0.96414	0.99912	0.33562	0.48271
GPT	4	-0.0050611	-0.057142	0.64573	0.96519	0.95443	0.97279	-0.043622	-0.49217	0.75364	0.97681	0.6226	0.7421	-0.18065	-2.0577	0.70962	0.97739	0.039622	0.088758	-0.17357	-1.885	0.74125	0.98248	0.059425	0.13055
RORB	2	-0.17156	-1.2066	0.7938	0.98525	0.22759	0.35765	-0.22902	-1.606	0.6207	0.96002	0.10827	0.2068	0.019776	0.14481	0.62452	0.96842	0.88486	0.92401	0.3297	2.3507	0.055652	0.65816	0.018736	0.052251
GRIN2A	3	-0.15874	-1.6559	0.83431	0.99114	0.097747	0.18708	-0.19985	-2.0832	0.7072	0.97064	0.037237	0.089381	0.018187	0.19392	0.62959	0.96906	0.84624	0.89822	0.054786	0.56709	0.49742	0.94282	0.57065	0.70174
SERPINA10	4	0.10792	1.2397	0.32165	0.89731	0.21508	0.34255	0.05212	0.59781	0.43416	0.92629	0.54997	0.68262	-0.098119	-1.1343	0.97334	0.99839	0.25667	0.38424	-0.03397	-0.37752	0.78872	0.98499	0.70578	0.80495
LY6G6C	4	-0.16447	-1.9322	0.81606	0.98719	0.053336	0.1159	-0.276	-3.2258	0.4979	0.94126	0.0012564	0.0053171	-0.12692	-1.519	0.87817	0.98983	0.12876	0.22599	-0.15909	-1.8258	0.78704	0.98499	0.067883	0.14512
COX5A	3	-1.4177	-11.02	0.0010104	0.17196	3.07E-28	3.20E-26	-1.3334	-10.558	0.0010334	0.15652	4.65E-26	4.76E-24	-0.7565	-6.6673	0.028544	0.54279	2.61E-11	5.51E-10	-0.73085	-5.9862	0.031712	0.55911	2.15E-09	4.18E-08
THOC2	4	-0.9663	-9.6256	0.012056	0.38716	6.23E-22	3.49E-20	-0.7605	-7.7928	0.031873	0.52256	6.56E-15	2.09E-13	-0.8858	-9.2455	0.013261	0.4351	2.34E-20	1.48E-18	-0.69891	-6.886	0.03828	0.59079	5.74E-12	1.71E-10
ZNF221	4	-0.059695	-0.52046	0.83325	0.99099	0.60274	0.7205	0.066381	0.58726	0.3942	0.91488	0.55703	0.68908	0.00084934	0.0076633	0.68972	0.97606	0.99389	0.99594	-0.066602	-0.558	0.90407	0.99618	0.57685	0.70726
TMSB15A	3	-0.31259	-2.1007	0.42665	0.93698	0.035668	0.084076	-0.02967	-0.20706	0.70397	0.97052	0.83597	0.89804	-0.12292	-0.87621	0.89112	0.99084	0.38091	0.51571	-0.14746	-0.96546	0.82346	0.98961	0.33431	0.48123
NFATC2	5	-0.11364	-1.5371	0.98088	0.99867	0.12427	0.2257	-0.0087888	-0.11961	0.63205	0.96292	0.90479	0.94345	-0.048218	-0.66302	0.85484	0.98899	0.50732	0.63384	-0.16568	-2.1908	0.76573	0.984	0.028464	0.073064
PWWP2A	6	-0.092578	-1.244	0.94615	0.99686	0.21349	0.3408	-0.13012	-1.7472	0.93622	0.99413	0.080608	0.16465	-0.12443	-1.7038	0.88634	0.99048	0.088414	0.16843	-0.15852	-2.0562	0.78861	0.98499	0.039763	0.095088
TAPBPL	4	0.067783	0.69149	0.42155	0.93616	0.48926	0.62369	-0.035229	-0.35728	0.72367	0.97163	0.72089	0.81795	0.0048967	0.050865	0.67374	0.97465	0.95943	0.97369	-0.046199	-0.45185	0.83192	0.98961	0.65137	0.76592
OR11H6	2	-0.31573	-2.6439	0.4204	0.93585	0.0081946	0.025132	-0.22611	-1.9069	0.62885	0.9626	0.056531	0.12484	-0.20092	-1.7222	0.65047	0.97214	0.085033	0.16338	-0.20322	-1.6736	0.6521	0.96936	0.094212	0.18613
SLCO1B1	4	0.0026133	0.025455	0.6171	0.96155	0.97969	0.98883	-0.20907	-2.0046	0.67864	0.96862	0.045002	0.10398	-0.43088	-4.16	0.2034	0.85538	3.18E-05	0.00020383	-0.23346	-2.1481	0.56661	0.95428	0.031703	0.079471
HOXB3	4	-0.23705	-2.5652	0.60447	0.95973	0.01031	0.030398	-0.36236	-3.8907	0.31931	0.88898	1.00E-04	0.00058892	-0.17569	-1.9513	0.72492	0.97775	0.051023	0.10872	-0.17127	-1.8089	0.74865	0.98363	0.07047	0.14936
MTCP1NB	4	-0.0062475	-0.074229	0.64929	0.96663	0.94083	0.96433	-0.01279	-0.15212	0.64567	0.96334	0.87909	0.9267	0.079684	0.96377	0.44663	0.92939	0.33516	0.46908	0.057349	0.67022	0.4896	0.94281	0.50272	0.64276
NKD2	4	-0.07679	-0.77844	0.89253	0.99463	0.43631	0.57603	-0.22751	-2.281	0.62521	0.96207	0.022548	0.0597	-0.36479	-3.7102	0.29153	0.88983	0.00020712	0.0010531	-0.31765	-3.0229	0.37243	0.91019	0.0025035	0.0098596
FRRS1L	2	0.084217	0.55895	0.37838	0.92098	0.5762	0.69962	0.15439	1.0316	0.19901	0.85123	0.30228	0.4454	-0.0723	-0.48541	0.93899	0.99558	0.62738	0.73552	0.095535	0.61767	0.38405	0.91344	0.53679	0.67245
SYT3	4	0.22693	2.263	0.1202	0.75307	0.023637	0.060701	0.24988	2.5009	0.08276	0.70508	0.012388	0.036611	0.30863	3.1572	0.078087	0.72485	0.0015931	0.0061666	0.26547	2.5794	0.098846	0.73621	0.0098963	0.031032
PWP1	3	0.17478	1.5699	0.18905	0.83059	0.11645	0.2143	0.090935	0.81344	0.32978	0.89396	0.41597	0.56173	0.2326	2.1383	0.14958	0.81679	0.032495	0.075674	0.16739	1.4601	0.22785	0.8464	0.14426	0.25791
NDP	4	-0.020672	-0.22699	0.69771	0.97358	0.82043	0.88374	0.049327	0.54508	0.44249	0.92667	0.5857	0.71165	0.077331	0.87015	0.45301	0.92983	0.38422	0.51857	0.027741	0.2977	0.58032	0.95757	0.76594	0.84844
ASB10	8	-0.0017839	-0.030077	0.63509	0.96217	0.97601	0.98688	0.013171	0.22252	0.55482	0.95162	0.82391	0.89041	0.0039033	0.066775	0.67721	0.97465	0.94676	0.96617	-0.0096773	-0.15985	0.70528	0.97681	0.873	0.92107
PCK2	4	0.023836	0.28784	0.54837	0.94803	0.77347	0.85036	-0.13848	-1.6609	0.90774	0.99192	0.096736	0.1901	-0.049773	-0.60752	0.86036	0.9898	0.54351	0.66536	-0.031776	-0.375	0.78165	0.9844	0.70766	0.8063
SLC35F2	4	0.010666	0.11871	0.5897	0.95768	0.9055	0.94088	-0.055721	-0.61861	0.79715	0.98333	0.53617	0.67037	0.068018	0.7731	0.47937	0.93708	0.43946	0.5702	0.031387	0.34113	0.56861	0.95494	0.73301	0.82466
LATS2	3	0.21031	2.0431	0.13924	0.77912	0.041043	0.094082	0.24102	2.3486	0.089856	0.71601	0.018846	0.051641	0.51645	5.1544	0.013468	0.4351	2.54E-07	2.68E-06	0.48069	4.6494	0.013985	0.45593	3.33E-06	3.27E-05
ERP44	2	-0.45919	-3.5315	0.20181	0.83949	0.00041326	0.001963	-0.39511	-3.0632	0.26834	0.87663	0.0021899	0.0085665	-0.43562	-3.4448	0.19801	0.8515	0.00057146	0.002567	-0.60989	-4.4356	0.067754	0.68018	9.18E-06	8.09E-05
DTNA	3	-0.46151	-4.6859	0.19921	0.83725	2.79E-06	2.26E-05	-0.4598	-4.6764	0.18629	0.84511	2.92E-06	2.50E-05	-0.43937	-4.5429	0.19383	0.8515	5.55E-06	4.31E-05	-0.39692	-3.9583	0.24332	0.85528	7.55E-05	0.00050198
TMEM19	3	-0.65421	-5.8126	0.068178	0.66421	6.15E-09	8.00E-08	-0.71626	-6.3382	0.041472	0.57608	2.32E-10	4.03E-09	-0.3662	-3.4419	0.28908	0.88983	0.00057769	0.0025895	-0.44742	-3.9075	0.18125	0.82028	9.33E-05	0.00060065
TMX2	3	-1.0097	-9.9933	0.0094609	0.35748	1.63E-23	1.04E-21	-0.92604	-9.2573	0.012182	0.37148	2.10E-20	1.16E-18	-0.86846	-8.9237	0.014846	0.45131	4.51E-19	2.60E-17	-0.83915	-8.1593	0.016327	0.46399	3.37E-16	2.05E-14
LGR5	4	0.25656	2.6863	0.09159	0.70622	0.0072248	0.022647	0.31392	3.3044	0.043619	0.58919	0.00095163	0.0041786	0.34133	3.6557	0.058936	0.68499	0.00025644	0.0012715	0.39033	4.0246	0.031678	0.55911	5.71E-05	0.00039277
COPS2	2	-0.3182	-2.4564	0.41535	0.93476	0.014035	0.039392	-0.27579	-2.1392	0.49857	0.94126	0.032422	0.079925	-0.34554	-2.7191	0.32246	0.89605	0.006547	0.020325	-0.35576	-2.6651	0.30413	0.88048	0.0076967	0.02523
RPS6KA1	9	0.07477	1.3016	0.40256	0.93182	0.19306	0.31573	-0.0092485	-0.1605	0.63355	0.96306	0.87249	0.92298	0.21427	3.8072	0.17303	0.82991	0.00014053	0.00075158	0.22161	3.8131	0.14559	0.79639	0.00013722	0.00083955
PTRH1	4	-0.26369	-2.6157	0.53625	0.94625	0.0089041	0.026969	-0.054425	-0.55151	0.79218	0.98193	0.58128	0.70792	0.10479	1.0967	0.38146	0.91324	0.27279	0.40245	-0.074673	-0.72857	0.93186	0.99689	0.46626	0.61109
SHCBP1	2	-0.091681	-0.8003	0.94335	0.99678	0.42354	0.56416	-0.20644	-1.7946	0.68669	0.96862	0.072717	0.15206	0.039532	0.35101	0.56268	0.95893	0.72558	0.811	0.059549	0.51471	0.48348	0.94281	0.60675	0.73097
SET	2	-0.48873	-4.537	0.17248	0.8121	5.71E-06	4.34E-05	-0.43269	-4.0286	0.21665	0.85516	5.61E-05	0.00035113	-0.31392	-2.9574	0.37946	0.91296	0.0031025	0.010811	-0.27312	-2.5222	0.46697	0.93711	0.011661	0.035512
HS3ST6	3	0.27134	2.5785	0.079201	0.68162	0.0099242	0.029458	0.21443	2.0342	0.11599	0.75614	0.041935	0.098076	0.069346	0.66343	0.47547	0.93703	0.50706	0.63356	0.10847	0.99411	0.35216	0.90051	0.32017	0.46677
ARMCX6	2	-0.24241	-1.7237	0.59021	0.95768	0.084756	0.16703	-0.21787	-1.5568	0.65228	0.96417	0.11951	0.22293	-0.16117	-1.1853	0.76837	0.98142	0.23589	0.3602	0.11997	0.8542	0.32435	0.89062	0.393	0.54154
TMPRSS5	2	-0.1313	-0.97951	0.92205	0.99541	0.32733	0.46843	-0.19735	-1.4679	0.71462	0.97064	0.14212	0.25401	-0.376	-2.8218	0.27424	0.88983	0.004775	0.015629	-0.52848	-3.6687	0.11198	0.75811	0.00024374	0.0013794
TMEM230	3	-0.09781	-0.91801	0.9651	0.99833	0.35861	0.50061	-0.22381	-2.0851	0.63526	0.96334	0.037063	0.089024	-0.3867	-3.6394	0.25913	0.88983	0.00027328	0.0013443	-0.24188	-2.1739	0.54524	0.95182	0.02971	0.075648
AAMP	2	-0.14107	-1.0028	0.8905	0.99461	0.31594	0.45633	-0.26812	-1.8948	0.51741	0.94422	0.058115	0.12746	0.12515	0.91749	0.3342	0.90002	0.35889	0.49399	0.11013	0.7784	0.34798	0.90012	0.43633	0.5833
PGLYRP3	4	-0.058929	-0.71738	0.83033	0.99082	0.47314	0.6094	-0.14587	-1.7706	0.88196	0.98979	0.07663	0.15823	-0.094879	-1.1692	0.98463	0.99918	0.24231	0.36721	-0.13018	-1.5466	0.87942	0.995	0.12195	0.22661
ODF4	3	-0.0090362	-0.082249	0.65845	0.9684	0.93445	0.96036	-0.16392	-1.4768	0.82141	0.98426	0.13972	0.25096	-0.27611	-2.5245	0.45876	0.9314	0.011587	0.032485	-0.43413	-3.6437	0.19661	0.83396	0.00026871	0.0014997
UBA3	2	-0.54875	-3.6792	0.12321	0.75735	0.00023399	0.0011946	-0.7883	-5.1299	0.02712	0.50971	2.90E-07	3.07E-06	0.17286	1.2715	0.23828	0.87918	0.20355	0.32234	-0.10105	-0.68595	0.97821	0.99953	0.49274	0.6347
GRB14	6	-0.015284	-0.20461	0.67969	0.96974	0.83788	0.89579	-0.15989	-2.1229	0.83469	0.98544	0.03376	0.082523	0.0085388	0.11669	0.66117	0.97333	0.90711	0.93953	-0.0034349	-0.044813	0.68462	0.97522	0.96426	0.97803
ARFGEF1	3	0.01337	0.087769	0.58119	0.95661	0.93006	0.95806	0.19432	1.3051	0.14058	0.79403	0.19187	0.31867	0.18381	1.2677	0.21948	0.86561	0.20492	0.32397	0.15369	0.98258	0.25275	0.85914	0.32582	0.47263
CHFR	3	0.0068331	0.075075	0.60241	0.95973	0.94016	0.96395	0.030269	0.33316	0.50006	0.94126	0.73902	0.83158	-0.040173	-0.44531	0.82796	0.98843	0.6561	0.75857	-0.10727	-1.1545	0.95676	0.99877	0.24828	0.3871
PFKFB1	3	0.056309	0.514	0.45409	0.9387	0.60725	0.7239	0.050322	0.46006	0.43951	0.92629	0.64547	0.7608	-0.22721	-2.0805	0.57847	0.95937	0.037483	0.084927	0.042791	0.37885	0.53282	0.95102	0.7048	0.80441
SFRP5	4	-0.082766	-0.84158	0.91253	0.99475	0.40002	0.54152	-0.17135	-1.733	0.79729	0.98333	0.083094	0.16846	-0.10159	-1.0575	0.9618	0.99776	0.29028	0.42136	-0.025813	-0.2552	0.7612	0.984	0.79857	0.87046
CYTH2	2	0.041094	0.29741	0.4979	0.94316	0.76615	0.84514	0.012955	0.093751	0.55553	0.95162	0.92531	0.95587	0.013162	0.097236	0.64628	0.97214	0.92254	0.94954	0.231	1.6502	0.13436	0.78521	0.098893	0.19314
ADTRP	4	0.052107	0.64253	0.46563	0.9387	0.52053	0.65102	-0.080892	-0.99295	0.88701	0.99024	0.32074	0.46594	-0.05326	-0.66223	0.87243	0.98983	0.50782	0.63438	0.0050216	0.060738	0.6529	0.96982	0.95157	0.96989
RNASE9	2	-0.10016	-0.91203	0.97333	0.99833	0.36175	0.50302	-0.11754	-1.0707	0.98162	0.99757	0.28431	0.42657	0.033108	0.30541	0.58243	0.95969	0.76006	0.83778	-0.058136	-0.52293	0.875	0.995	0.60102	0.72706
HSD17B12	4	-0.21622	-2.3327	0.66153	0.9684	0.019662	0.052109	-0.24645	-2.6583	0.57401	0.95458	0.0078533	0.025123	-0.23298	-2.5703	0.56402	0.95893	0.010161	0.029179	-0.18779	-1.9663	0.69784	0.97557	0.049261	0.11255
CD96	5	-0.32037	-4.289	0.41113	0.93345	1.79E-05	0.00012245	-0.31526	-4.2288	0.40828	0.91666	2.35E-05	0.00016127	-0.29543	-4.0288	0.41712	0.92346	5.61E-05	0.00033521	-0.3683	-4.7913	0.28405	0.87042	1.66E-06	1.74E-05
ZNF321P	3	0.025207	0.27638	0.54397	0.9473	0.78225	0.85666	-0.073653	-0.80542	0.86138	0.98901	0.42057	0.56576	-0.0083482	-0.092386	0.71993	0.97763	0.92639	0.95225	-0.040311	-0.43407	0.81144	0.98895	0.66423	0.77518
MYOD1	4	-0.17768	-1.9363	0.77522	0.98319	0.052827	0.11507	-0.078049	-0.85846	0.87696	0.98949	0.39064	0.53668	-0.14874	-1.6599	0.80773	0.98626	0.09693	0.18171	-0.19884	-2.0972	0.66533	0.97263	0.035978	0.087785
EPHA3	3	-0.10578	-1.0895	0.99241	0.99919	0.27592	0.41305	-0.065787	-0.68002	0.83339	0.98512	0.49649	0.63499	-0.12731	-1.3307	0.87692	0.98983	0.1833	0.29703	-0.12926	-1.2995	0.88259	0.9952	0.19377	0.321
IL1R1	3	0.1026	1.0478	0.33429	0.90079	0.29473	0.43353	0.099005	1.0123	0.31039	0.88684	0.31139	0.45558	0.11793	1.2223	0.35039	0.90426	0.22158	0.344	0.11095	1.1109	0.34605	0.89982	0.26663	0.40723
MYO5C	4	0.061928	0.67594	0.43805	0.93721	0.49908	0.63248	-0.0077112	-0.083926	0.62873	0.9626	0.93312	0.9612	0.14275	1.5944	0.29627	0.88983	0.11085	0.20149	0.00036643	0.0038725	0.67159	0.97328	0.99691	0.99794
ZNF616	3	0.035761	0.28998	0.51329	0.94349	0.77183	0.84909	0.17292	1.422	0.16994	0.82572	0.15504	0.2712	0.23318	1.9665	0.14881	0.81679	0.049237	0.10564	0.14867	1.1778	0.26292	0.86089	0.23889	0.3768
HTRA4	4	0.080551	0.89696	0.38744	0.9254	0.36974	0.51144	0.11633	1.3003	0.27174	0.87881	0.1935	0.32068	0.078615	0.89094	0.44951	0.92939	0.37296	0.50798	0.18045	1.9753	0.20526	0.83878	0.048239	0.11077
DCAKD	4	-0.32256	-3.3174	0.40697	0.93334	0.00090873	0.0038883	-0.33081	-3.4083	0.37751	0.9104	0.00065363	0.003021	-0.23774	-2.5288	0.55121	0.95443	0.011447	0.032165	-0.22326	-2.2364	0.5951	0.95966	0.025327	0.066421
