id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
C16orf7	3	0.00038527	0.0015799	0.555428	46	3	-0.39	0.99961	0.99937	0.999967	17125	0	-0.39
ZSWIM6	4	0.00038865	0.0015941	0.555428	47	2	-0.19088	0.9327	0.91696	0.991278	15856	0	-0.19088
IRF2BP2	3	0.00038876	0.0015941	0.555428	48	3	-0.33571	0.99961	0.99936	0.999967	17124	0	-0.33571
PDIA3	2	0.00040374	0.0016702	0.555428	49	2	-0.78096	0.9996	0.99932	0.999967	17123	0	-0.78096
NEDD4L	8	0.00040477	0.0016708	0.555428	50	4	-0.095031	0.75829	0.73588	0.97748	12901	2	-0.095031
MGLL	3	0.00042473	0.0017282	0.555428	51	3	-0.18029	0.99958	0.99931	0.999967	17122	0	-0.18029
PTPRK	4	0.00043009	0.0017362	0.555428	52	3	-0.24873	0.91046	0.89005	0.989673	15416	0	-0.24873
AFAP1L2	3	0.00044706	0.0017578	0.555428	53	3	-0.40723	0.99955	0.99929	0.999967	17121	0	-0.40723
SLC25A48	3	0.00045671	0.0017845	0.555428	54	3	-0.49274	0.99954	0.99929	0.999967	17120	0	-0.49274
DNAJC16	6	0.00045918	0.0017856	0.555428	55	6	-0.27175	0.99954	0.99929	0.999967	17119	0	-0.27175
KDM2A	6	0.00050507	0.0020164	0.616206	56	5	-0.36097	0.99905	0.99857	0.999967	17106	0	-0.36097
DEFB124	4	0.00053051	0.0020869	0.62675	57	3	-0.56174	0.89752	0.87619	0.989334	15179	0	-0.56174
ANKRD17	5	0.00054562	0.0022051	0.641337	58	5	-0.21533	0.99945	0.99918	0.999967	17118	0	-0.21533
PI4K2A	3	0.00054925	0.0022091	0.641337	59	3	-0.68752	0.99945	0.99918	0.999967	17117	0	-0.68752
ACTR8	6	0.00056654	0.0022659	0.647054	60	5	-0.3385	0.68816	0.67552	0.970143	11916	1	-0.3385
SLAMF9	4	0.00060447	0.0024774	0.691576	61	3	-0.28556	0.62975	0.62716	0.968392	11098	1	-0.28556
XKR7	3	0.00060874	0.0025013	0.691576	62	3	-0.41166	0.99939	0.99908	0.999967	17116	0	-0.41166
OR1C1	3	0.00065775	0.0026473	0.695827	63	3	-0.29511	0.99934	0.99898	0.999967	17114	0	-0.29511
GUCY1A2	3	0.00066808	0.0026667	0.695827	64	3	-0.24167	0.99933	0.99897	0.999967	17113	0	-0.24167
ZNF774	3	0.00067873	0.0027013	0.695827	65	2	-0.86452	0.84245	0.82218	0.984303	14269	0	-0.86452
AKAP13	3	0.00068394	0.002761	0.695827	66	3	-0.19632	0.99932	0.99893	0.999967	17112	0	-0.19632
STK38L	4	0.00068615	0.002761	0.695827	67	4	-0.39102	0.99931	0.99893	0.999967	17111	0	-0.39102
TIPARP	6	0.00070209	0.0027963	0.695827	68	4	-0.30743	0.98959	0.98567	0.998552	16921	0	-0.30743
SAP30L	5	0.00072813	0.0028645	0.696026	69	2	-0.050846	0.51004	0.54328	0.953879	9733	1	-0.050846
ASB15	4	0.00073198	0.002877	0.696026	70	4	-0.32038	0.99927	0.99887	0.999967	17110	0	-0.32038
SULT2A1	3	0.00080291	0.0030685	0.720594	71	3	-0.43751	0.9992	0.99877	0.999967	17109	0	-0.43751
HS3ST3A1	2	0.00081166	0.0031026	0.720594	72	2	-0.8028	0.99919	0.99873	0.999967	17108	0	-0.8028
CAMSAP2	6	0.00081247	0.0031026	0.720594	73	3	-0.27033	0.45095	0.50382	0.946287	9127	1	-0.27033
MORN1	5	0.00086061	0.0033283	0.75329	74	4	-0.43569	0.49694	0.53362	0.952214	9603	1	-0.43569
CHML	3	0.00087164	0.0033914	0.75329	75	2	-0.41825	0.96071	0.94923	0.993803	16368	0	-0.41825
PRKAA1	6	0.00087584	0.0033931	0.75329	76	3	-0.19169	0.47591	0.51965	0.948301	9382	2	-0.19169
VASN	2	0.00089087	0.0034164	0.75329	77	2	-0.7287	0.99911	0.99864	0.999967	17107	0	-0.7287
NCOR1	4	0.00093926	0.0035636	0.775928	78	3	-0.21564	0.9854	0.98105	0.998534	16827	0	-0.21564
PAX9	3	0.00096023	0.003621	0.778695	79	3	-0.40464	0.99904	0.99854	0.999967	17105	0	-0.40464
FAM178A	4	0.0010123	0.0042593	0.85509	80	4	-0.42826	0.99899	0.99845	0.999967	17104	0	-0.42826
VCAM1	5	0.0010265	0.0042667	0.85509	81	5	-0.11596	0.99897	0.99845	0.999967	17103	0	-0.11596
SYTL3	2	0.0010553	0.0043923	0.85509	82	2	-0.352	0.99894	0.99837	0.999967	17102	0	-0.352
MAPKAPK2	3	0.0010679	0.0044378	0.85509	83	3	-0.4373	0.99893	0.99835	0.999967	17101	0	-0.4373
CD163	4	0.0010814	0.0044526	0.85509	84	4	-0.2332	0.99892	0.99834	0.999967	17100	0	-0.2332
CPPED1	6	0.0010862	0.0044611	0.85509	85	5	-0.20683	0.96104	0.94986	0.993803	16381	0	-0.20683
OTUD5	4	0.0010873	0.0044611	0.85509	86	4	-0.20796	0.99891	0.99834	0.999967	17099	0	-0.20796
FADS6	4	0.001092	0.0044656	0.85509	87	1	-0.2539	0.84662	0.82529	0.984303	14339	0	-0.2539
C4orf37	5	0.0010966	0.004514	0.85509	88	3	-0.34713	0.45652	0.50779	0.947134	9191	2	-0.34713
UBTD2	3	0.0011025	0.0045162	0.85509	89	3	-0.4903	0.9989	0.99834	0.999967	17098	0	-0.4903
STUB1	3	0.0011328	0.0046089	0.856278	90	3	-0.43864	0.99887	0.9983	0.999967	17096	0	-0.43864
SLC5A1	7	0.0011461	0.0046208	0.856278	91	6	-0.29301	0.99964	0.9994	0.999967	17126	0	-0.29301
CD300LB	4	0.0011798	0.0046743	0.857061	92	4	-0.26139	0.99882	0.99827	0.999967	17094	0	-0.26139
9-Sep	10	0.0011854	0.0047481	0.861541	93	5	-0.12869	0.60778	0.6126	0.964735	10847	2	-0.12869
OR5D16	2	0.0012118	0.0048931	0.878687	94	2	-0.54945	0.99879	0.99823	0.999967	17093	0	-0.54945
OR6F1	3	0.0012642	0.0050801	0.880179	95	3	-0.43981	0.99874	0.99815	0.999967	17092	0	-0.43981
RREB1	4	0.0012769	0.0051301	0.880179	96	4	-0.16383	0.99872	0.99812	0.999967	17091	0	-0.16383
NKAIN4	4	0.001297	0.0051733	0.880179	97	3	-0.3643	0.36729	0.43691	0.931838	8020	1	-0.3643
C4BPA	5	0.0012993	0.0052012	0.880179	98	3	-0.26389	0.73528	0.71551	0.974802	12574	1	-0.26389
NDE1	4	0.0013087	0.005204	0.880179	99	3	-0.48808	0.9783	0.97195	0.997894	16695	0	-0.48808
CR2	4	0.001313	0.0052046	0.880179	100	3	-0.29816	0.34712	0.42087	0.927882	7758	1	-0.29816
E2F5	5	0.0013477	0.0053057	0.888661	101	3	-0.37248	0.97078	0.96276	0.996458	16560	0	-0.37248
AP5B1	4	0.0013888	0.0054342	0.899251	102	4	-0.36878	0.99861	0.99798	0.999967	17090	0	-0.36878
ACVR1B	4	0.0014038	0.0055035	0.899251	103	3	-0.15896	0.55767	0.58021	0.964735	10273	1	-0.15896
C12orf73	3	0.0014243	0.0056275	0.899251	104	2	-0.80848	0.20292	0.2816	0.889448	5427	1	-0.80848
NUP85	3	0.0014273	0.0056695	0.899251	105	2	-0.23323	0.5904	0.60076	0.964735	10643	1	-0.23323
ATG2A	4	0.0014354	0.005694	0.899251	106	2	-0.68773	0.98134	0.97607	0.998534	16745	0	-0.68773
MIXL1	4	0.0014356	0.0056945	0.899251	107	4	-0.33432	0.99856	0.99785	0.999967	17089	0	-0.33432
SLC34A2	4	0.0014582	0.0057303	0.899251	108	2	-0.17612	0.67343	0.66564	0.970143	11715	1	-0.17612
SLFN11	4	0.0014879	0.006787	1.0	109	4	-0.32166	0.99851	0.99778	0.999967	17088	0	-0.32166
SEMA3G	4	0.0015286	0.0069001	1.0	110	2	-0.097585	0.54001	0.56646	0.963095	10074	1	-0.097585
C11orf31	3	0.0015475	0.0069757	1.0	111	3	-0.39047	0.99845	0.99766	0.999967	17087	0	-0.39047
STAC	2	0.0015535	0.0069763	1.0	112	2	-0.31467	0.99845	0.99766	0.999967	17086	0	-0.31467
FMN1	3	0.0015563	0.0069939	1.0	113	3	-0.49358	0.99844	0.99764	0.999967	17085	0	-0.49358
FAM40B	3	0.0015676	0.0070007	1.0	114	1	-0.14672	0.23984	0.32469	0.915131	6081	1	-0.14672
AMFR	4	0.0015896	0.0070695	1.0	115	2	-0.20226	0.33157	0.40606	0.925555	7530	1	-0.20226
PYGM	4	0.0015909	0.0070701	1.0	116	2	-0.012667	0.27907	0.36288	0.91976	6751	2	-0.012667
KIF4B	2	0.0016168	0.0071337	1.0	117	2	-0.47397	0.99838	0.99756	0.999967	17084	0	-0.47397
PRAMEF11	4	0.0016396	0.0071451	1.0	118	3	-0.37106	0.96885	0.9604	0.99596	16529	0	-0.37106
GNB1	3	0.0016612	0.0072667	1.0	119	2	-0.21564	0.81532	0.79149	0.983044	13805	0	-0.21564
TTC12	2	0.0016674	0.0072724	1.0	120	2	-0.46236	0.99833	0.99754	0.999967	17083	0	-0.46236
HES6	8	0.0016843	0.0074009	1.0	121	2	-0.085444	0.7979	0.77546	0.979784	13543	2	-0.085444
HIBADH	4	0.0016989	0.0074373	1.0	122	3	-0.30135	0.79355	0.76947	0.978994	13480	1	-0.30135
OR11A1	2	0.0017004	0.0074373	1.0	123	1	-0.41304	0.56897	0.58912	0.964735	10399	1	-0.41304
BET3L	4	0.0017461	0.0075771	1.0	124	3	-0.43998	0.40845	0.47624	0.944115	8582	1	-0.43998
MTM1	3	0.0017472	0.0076015	1.0	125	3	-0.53507	0.99825	0.99739	0.999967	17082	0	-0.53507
ITGB3	4	0.0017671	0.0077118	1.0	126	3	-0.35634	0.98641	0.98213	0.998534	16854	0	-0.35634
C1orf122	7	0.0017817	0.0077362	1.0	127	4	-0.25866	0.9191	0.9006	0.990189	15567	1	-0.25866
NID2	4	0.001786	0.0077521	1.0	128	2	0.044252	0.011604	0.021244	0.487568	750	2	0.044252
COL4A5	3	0.0017997	0.0077539	1.0	129	2	-0.26239	0.93443	0.91964	0.99208	15881	0	-0.26239
TMC3	3	0.0018015	0.0077544	1.0	130	1	-0.037289	0.6425	0.63711	0.968905	11280	1	-0.037289
C17orf98	3	0.0018391	0.0079284	1.0	131	3	-0.30044	0.99816	0.99725	0.999967	17081	0	-0.30044
METTL12	4	0.0018403	0.0079301	1.0	132	2	-0.32049	0.94847	0.93642	0.993803	16123	0	-0.32049
AC007228.1	3	0.0018482	0.007942	1.0	133	1	0.22552	0.17197	0.2464	0.865163	4890	2	0.22552
ARMCX4	2	0.0018695	0.008	1.0	134	2	-0.49397	0.99813	0.9972	0.999967	17080	0	-0.49397
ORMDL2	4	0.0018883	0.0080261	1.0	135	3	-0.47303	0.91301	0.89335	0.990189	15462	0	-0.47303
ESRRG	5	0.0019141	0.0080795	1.0	136	3	-0.23692	0.51128	0.54363	0.953879	9747	1	-0.23692
PTPN11	2	0.0019499	0.008187	1.0	137	2	-0.52954	0.95808	0.94734	0.993803	16306	0	-0.52954
ALOX12	4	0.001955	0.0082978	1.0	138	4	-0.43634	0.99805	0.99706	0.999967	17078	0	-0.43634
BCL2L2	4	0.001979	0.0097933	1.0	139	3	-0.40337	0.9675	0.95784	0.994494	16509	0	-0.40337
TMEM51	6	0.002002	0.0098547	1.0	140	5	-0.25311	0.95905	0.94804	0.993803	16330	0	-0.25311
CELF5	4	0.0020311	0.0099689	1.0	141	3	-0.31656	0.89939	0.87814	0.989537	15212	0	-0.31656
FSCB	2	0.0020434	0.010027	1.0	142	1	-0.38947	0.76017	0.73823	0.97748	12941	0	-0.38947
RNF145	3	0.0020925	0.010129	1.0	143	2	-0.24463	0.15615	0.23302	0.857434	4606	1	-0.24463
WFDC12	4	0.002098	0.010216	1.0	144	3	-0.32606	0.88582	0.86365	0.986866	14985	0	-0.32606
EHD1	4	0.0021323	0.010316	1.0	145	2	-0.26977	0.92673	0.91038	0.990189	15735	0	-0.26977
CELF4	4	0.002152	0.010359	1.0	146	3	-0.1701	0.37491	0.44308	0.931838	8124	1	-0.1701
GAS7	7	0.0021687	0.010539	1.0	147	3	-0.17379	0.99595	0.99462	0.999967	17038	0	-0.17379
C8orf86	3	0.0021755	0.010549	1.0	148	2	-0.20075	0.68616	0.67297	0.970143	11882	1	-0.20075
IQCF1	5	0.0021761	0.010549	1.0	149	4	-0.33301	0.98372	0.97906	0.998534	16805	0	-0.33301
INPP5B	4	0.0022083	0.010638	1.0	150	3	-0.3158	0.97422	0.96707	0.997129	16623	0	-0.3158
OR4S2	2	0.0022265	0.010725	1.0	151	2	-0.58663	0.99777	0.99664	0.999967	17077	0	-0.58663
LBP	4	0.0022689	0.010866	1.0	152	4	-0.29722	0.99773	0.9966	0.999967	17076	0	-0.29722
LPAR1	4	0.0022766	0.010867	1.0	153	4	-0.51308	0.99434	0.99273	0.999967	17008	0	-0.51308
IRF3	4	0.0023344	0.011013	1.0	154	4	-0.12858	0.99767	0.99654	0.999967	17074	0	-0.12858
PARM1	2	0.0023384	0.011023	1.0	155	2	-0.69271	0.99766	0.99654	0.999967	17073	0	-0.69271
MPRIP	3	0.0023579	0.011172	1.0	156	3	-0.33273	0.99764	0.99646	0.999967	17072	0	-0.33273
RAI14	6	0.002358	0.011172	1.0	157	5	-0.16791	0.91082	0.89052	0.989673	15421	1	-0.16791
TTC23L	3	0.0023625	0.011192	1.0	158	1	0.12727	0.44386	0.49961	0.944115	9052	1	0.12727
ZNF28	4	0.0023712	0.011293	1.0	159	3	-0.3339	0.75345	0.73234	0.97748	12840	1	-0.3339
GCKR	6	0.0023755	0.011294	1.0	160	5	-0.27665	0.90248	0.88204	0.989673	15272	1	-0.27665
FABP3	5	0.002394	0.011315	1.0	161	4	-0.21385	0.81711	0.79584	0.984303	13834	1	-0.21385
BCL2L1	5	0.0023975	0.011335	1.0	162	3	-0.31861	0.87475	0.8518	0.984931	14806	1	-0.31861
USP20	4	0.0024348	0.011539	1.0	163	4	-0.33342	0.99757	0.99634	0.999967	17071	0	-0.33342
MTSS1L	3	0.0024555	0.01162	1.0	164	3	-0.30502	0.99754	0.99626	0.999967	17070	0	-0.30502
TUSC2	4	0.0024787	0.012031	1.0	165	2	-0.23255	0.9238	0.90612	0.990189	15670	0	-0.23255
PPP1CB	4	0.0024899	0.012041	1.0	166	3	-0.47139	0.28037	0.36318	0.91976	6775	1	-0.47139
IQCC	6	0.0025194	0.012132	1.0	167	3	-0.12285	0.11859	0.1907	0.839266	3872	3	-0.12285
NSFL1C	3	0.0025899	0.012252	1.0	168	3	-0.1767	0.99741	0.99617	0.999967	17068	0	-0.1767
ONECUT1	3	0.0026334	0.012314	1.0	169	3	-0.38776	0.99737	0.99612	0.999967	17066	0	-0.38776
MIDN	4	0.0026505	0.012316	1.0	170	2	-0.27286	0.84715	0.8253	0.984303	14350	0	-0.27286
PTCHD3	4	0.0026591	0.012319	1.0	171	4	-0.25989	0.99734	0.99612	0.999967	17065	0	-0.25989
PLCE1	3	0.0026657	0.012356	1.0	172	2	-0.41978	0.97642	0.97057	0.997714	16665	0	-0.41978
C5orf46	4	0.0026672	0.012356	1.0	173	2	-0.13567	0.34733	0.42123	0.927882	7761	2	-0.13567
RBMS3	4	0.0026818	0.012358	1.0	174	4	-0.12641	0.99732	0.99609	0.999967	17064	0	-0.12641
DPPA4	3	0.0026876	0.012381	1.0	175	2	-0.54483	0.49949	0.53567	0.952439	9637	1	-0.54483
LRP5	3	0.0026897	0.012381	1.0	176	2	-0.39759	0.45161	0.50385	0.946287	9134	1	-0.39759
RNF44	4	0.0027096	0.012401	1.0	177	2	-0.054308	0.059741	0.10681	0.797829	2267	2	-0.054308
UGT2B15	4	0.0027128	0.012401	1.0	178	1	-0.1219	0.94518	0.93266	0.993803	16073	0	-0.1219
C5orf24	2	0.0027293	0.012489	1.0	179	1	-0.19234	0.078414	0.13181	0.800993	2779	1	-0.19234
MS4A6E	3	0.0027448	0.012565	1.0	180	3	-0.32212	0.99726	0.99604	0.999967	17063	0	-0.32212
ARFRP1	3	0.0027632	0.012688	1.0	181	3	-0.25621	0.99724	0.99604	0.999967	17062	0	-0.25621
ZBED2	3	0.0027902	0.012723	1.0	182	2	-0.26352	0.86639	0.84285	0.984931	14663	0	-0.26352
CCDC78	4	0.0028346	0.012984	1.0	183	3	-0.31739	0.78869	0.76469	0.978039	13401	1	-0.31739
ERBB2	3	0.0028464	0.013025	1.0	184	2	-0.40209	0.91836	0.8997	0.990189	15552	0	-0.40209
OTUB2	2	0.0028539	0.013034	1.0	185	1	-0.0014943	0.04467	0.088474	0.797829	1864	1	-0.0014943
SELV	4	0.0028584	0.013037	1.0	186	3	-0.62756	0.96362	0.95319	0.993803	16434	0	-0.62756
C1orf61	4	0.002902	0.013102	1.0	187	4	-0.39374	0.99596	0.99462	0.999967	17039	0	-0.39374
TULP4	4	0.0029047	0.013124	1.0	188	4	-0.3866	0.9971	0.99588	0.999967	17061	0	-0.3866
VAX1	5	0.0029088	0.013141	1.0	189	3	-0.28345	0.93931	0.92532	0.99208	15967	0	-0.28345
APBB1IP	4	0.0029558	0.01372	1.0	190	4	-0.35898	0.99704	0.99583	0.999967	17060	0	-0.35898
SPATA2	4	0.0030314	0.013853	1.0	191	2	-0.26507	0.72473	0.70734	0.974802	12429	1	-0.26507
OR13C4	2	0.0030409	0.013854	1.0	192	1	-0.31624	0.61486	0.61692	0.964735	10933	0	-0.31624
CABYR	10	0.0030456	0.013855	1.0	193	7	-0.21323	0.94832	0.93637	0.993803	16121	1	-0.21323
PDK2	3	0.0030649	0.013973	1.0	194	3	-0.26982	0.99694	0.99575	0.999967	17059	0	-0.26982
GALNT14	7	0.0031093	0.014059	1.0	195	2	-0.046215	0.055911	0.10126	0.797829	2161	2	-0.046215
GPR114	4	0.0031512	0.014106	1.0	196	4	-0.3052	0.99685	0.99566	0.999967	17058	0	-0.3052
ZNF341	2	0.0031539	0.014106	1.0	197	2	-0.54696	0.99685	0.99566	0.999967	17057	0	-0.54696
C14orf93	4	0.0031886	0.014204	1.0	198	3	-0.24717	0.98585	0.98153	0.998534	16839	0	-0.24717
PARD6B	4	0.0031968	0.014215	1.0	199	3	-0.31711	0.88921	0.86664	0.986866	15049	0	-0.31711
CDKN1C	4	0.0032111	0.014221	1.0	200	3	-0.15433	0.51089	0.54355	0.953879	9741	1	-0.15433
CNGA1	4	0.0032249	0.014239	1.0	201	4	-0.22675	0.99678	0.99559	0.999967	17056	0	-0.22675
ZNF235	3	0.0032298	0.014239	1.0	202	3	-0.5538	0.99677	0.99559	0.999967	17054	0	-0.5538
COMMD8	4	0.0032571	0.014359	1.0	203	4	-0.23156	0.99674	0.99558	0.999967	17053	0	-0.23156
SLC22A5	4	0.0032622	0.01436	1.0	204	4	-0.20399	0.99674	0.99558	0.999967	17052	0	-0.20399
SLC39A9	4	0.0032684	0.014378	1.0	205	3	-0.23444	0.70573	0.68919	0.972173	12156	1	-0.23444
C1GALT1	4	0.0032733	0.014378	1.0	207	1	-0.074417	0.8331	0.81289	0.984303	14119	0	-0.074417
CLMN	3	0.0032733	0.014378	1.0	206	2	-0.51847	0.83996	0.81947	0.984303	14228	0	-0.51847
CHMP7	3	0.0032874	0.01438	1.0	208	3	-0.49746	0.99671	0.99554	0.999967	17050	0	-0.49746
ZNF474	2	0.0032903	0.01438	1.0	209	2	-0.44588	0.95232	0.94072	0.993803	16199	0	-0.44588
DEDD	5	0.0033091	0.014394	1.0	210	2	-0.15732	0.95376	0.94218	0.993803	16225	0	-0.15732
SPATA17	4	0.0033356	0.014468	1.0	211	2	-0.33666	0.34198	0.41541	0.926664	7679	1	-0.33666
ELMO2	3	0.0033446	0.014477	1.0	212	3	-0.29474	0.99666	0.9955	0.999967	17049	0	-0.29474
CRIP1	3	0.0033707	0.014493	1.0	213	3	-0.68757	0.99618	0.99494	0.999967	17041	0	-0.68757
DUOXA1	3	0.0033793	0.014493	1.0	214	3	-0.31028	0.99662	0.99549	0.999967	17048	0	-0.31028
SLIT2	3	0.0033922	0.014544	1.0	215	2	-0.73165	0.96732	0.95764	0.994468	16504	0	-0.73165
PIK3R1	6	0.0034188	0.014546	1.0	216	2	-0.030322	0.10634	0.17098	0.831435	3524	2	-0.030322
SLC45A1	5	0.0034193	0.014546	1.0	217	3	-0.1651	0.23165	0.31695	0.913701	5957	1	-0.1651
APOA5	3	0.0034292	0.014556	1.0	218	2	-0.22196	0.46363	0.51228	0.9473	9263	1	-0.22196
ATP6V1H	3	0.0034509	0.014672	1.0	219	2	-0.24711	0.86859	0.8463	0.984931	14698	0	-0.24711
FKBP7	5	0.0034676	0.014672	1.0	220	1	0.095525	0.18918	0.26576	0.880432	5181	3	0.095525
TXLNB	3	0.003484	0.014751	1.0	221	1	0.075583	0.3515	0.42383	0.927882	7821	1	0.075583
BNC2	4	0.0035224	0.01479	1.0	222	3	-0.40542	0.85606	0.83204	0.984609	14484	0	-0.40542
CD59	3	0.0035487	0.014849	1.0	223	3	-0.31594	0.99645	0.9953	0.999967	17047	0	-0.31594
ERLEC1	5	0.0035652	0.014905	1.0	224	3	-0.08553	0.80914	0.7848	0.981182	13711	1	-0.08553
CRLF3	3	0.0035729	0.014907	1.0	225	2	-0.43819	0.90771	0.88817	0.989673	15366	0	-0.43819
SETD3	3	0.0035774	0.014907	1.0	226	2	-0.17169	0.96197	0.95159	0.993803	16397	0	-0.17169
GZF1	4	0.0036066	0.01517	1.0	227	2	-0.14898	0.78469	0.76051	0.97748	13334	1	-0.14898
TTLL3	5	0.0036393	0.015272	1.0	228	3	-0.19323	0.87582	0.85334	0.984931	14825	1	-0.19323
HTR3A	4	0.0036735	0.01535	1.0	229	3	-0.21394	0.94024	0.92603	0.99208	15990	0	-0.21394
CAPN3	7	0.0036944	0.01543	1.0	230	5	-0.11556	0.60558	0.61163	0.964735	10822	1	-0.11556
