Gene	sgRNA	Pmel1_Input|beta	Pmel1_Input|z	Pmel1_Input|p-value	Pmel1_Input|fdr	Pmel1_Input|wald-p-value	Pmel1_Input|wald-fdr	Pmel1_Ctrl|beta	Pmel1_Ctrl|z	Pmel1_Ctrl|p-value	Pmel1_Ctrl|fdr	Pmel1_Ctrl|wald-p-value	Pmel1_Ctrl|wald-fdr	Pmel1|beta	Pmel1|z	Pmel1|p-value	Pmel1|fdr	Pmel1|wald-p-value	Pmel1|wald-fdr
Eci3	4	0.078554	0.32349	0.51868	0.89376	0.74633	0.99994	-0.020009	-0.080588	0.98069	0.99824	0.93577	1	0.098078	0.39507	0.20859	0.93117	0.69279	0.83139
Gm4141	4	-0.31618	-0.70557	0.24676	0.69169	0.48045	0.99994	-0.06205	-0.13476	0.46948	0.96838	0.8928	1	-0.50497	-1.0922	0.57916	0.96858	0.27473	0.4727
Ypel5	4	-0.22977	-0.71567	0.38861	0.81918	0.47419	0.99994	-0.0048896	-0.014967	0.80747	0.98741	0.98806	1	-2.3608	-7.2274	0	0	4.9221e-13	8.0702e-10
Olfr1309	4	0.096143	0.63404	0.44432	0.85116	0.52606	0.99994	0.055202	0.35593	0.1997	0.84792	0.7219	1	-0.39179	-2.5232	0.81281	0.99313	0.011629	0.059236
Mybl1	4	0.031321	0.34654	0.73698	0.9609	0.72894	0.99994	0.037818	0.41076	0.32757	0.93395	0.68125	1	-0.28939	-3.1421	0.95578	0.99908	0.0016777	0.017138
Tas2r119	4	0.16983	1.0367	0.19512	0.62559	0.29989	0.99994	-0.0052776	-0.031391	0.81281	0.98741	0.97496	1	-0.027198	-0.16171	0.38968	0.94619	0.87153	0.94658
Derl3	4	0.17437	0.89905	0.18338	0.60967	0.36863	0.99994	-0.027673	-0.13975	0.87705	0.99266	0.88886	1	-0.9299	-4.6887	0.11202	0.85616	2.7498e-06	0.00029891
Serpina1b	4	0.04186	0.17355	0.68879	0.95142	0.86222	0.99994	-0.047967	-0.1947	0.62297	0.98614	0.84563	1	-0.7656	-3.0957	0.22531	0.93533	0.0019636	0.018999
Kif15	4	0.1362	0.70667	0.29479	0.74407	0.47977	0.99994	-0.062668	-0.31952	0.46302	0.9681	0.74933	1	-0.48789	-2.4875	0.60956	0.97171	0.012865	0.063248
Cyp8b1	4	0.25251	1.0272	0.050572	0.29595	0.30434	0.99994	-0.048733	-0.19361	0.61474	0.98614	0.84648	1	-0.30973	-1.2288	0.99715	0.99919	0.21913	0.40945
St13	4	-0.17843	-0.64236	0.50257	0.88471	0.52064	0.99994	0.052641	0.18577	0.21438	0.85775	0.85262	1	-1.0456	-3.6851	0.066989	0.77017	0.00022862	0.0049307
Cebpzos	4	0.28679	1.6457	0.02587	0.19107	0.09983	0.94795	-0.0075766	-0.042535	0.84508	0.98841	0.96607	1	-0.30066	-1.6868	0.98186	0.99908	0.091638	0.23021
Olfr1196	4	0.039393	0.17686	0.69987	0.95385	0.85962	0.99994	0.0072007	0.031686	0.65144	0.98741	0.97472	1	-0.41338	-1.8169	0.76371	0.98584	0.069235	0.19022
Tmem65	4	0.088693	0.31811	0.47426	0.86873	0.7504	0.99994	0.044143	0.15531	0.27634	0.9144	0.87658	1	-0.20597	-0.72433	0.7603	0.9852	0.46886	0.65904
Rpl22	4	0.15101	0.62515	0.24676	0.69169	0.53187	0.99994	0.038817	0.15704	0.31919	0.93395	0.87521	1	0.059945	0.24261	0.25388	0.93533	0.80831	0.90789
Kcna2	4	0.0088886	0.034966	0.84112	0.98289	0.97211	0.99994	-0.057839	-0.22313	0.51233	0.97267	0.82343	1	-1.2649	-4.8702	0.022668	0.5923	1.115e-06	0.00014433
Otud7a	4	0.093898	0.37158	0.45382	0.85872	0.71021	0.99994	0.03361	0.13021	0.36412	0.93726	0.8964	1	0.016243	0.062927	0.31898	0.93533	0.94982	0.99108
NO_CURRENT	1000	0	0	0.88132	0.98815	1	1	0	0	0.7415	0.98741	1	1	0	0	0.34348	0.93533	1	1
Olfr1178	4	0.33255	1.1779	0.0085896	0.087701	0.23885	0.99994	0.004416	0.015232	0.68554	0.98741	0.98785	1	-0.0070555	-0.024334	0.35543	0.93772	0.98059	1
Sel1l2	4	0.095764	0.30915	0.44564	0.85159	0.7572	0.99994	-0.0020331	-0.0064048	0.76864	0.98741	0.99489	1	-0.13038	-0.41027	0.59131	0.96966	0.68161	0.82359
Gfral	4	0.048375	0.21194	0.65774	0.94349	0.83215	0.99994	0.00019566	0.00083973	0.73926	0.98741	0.99933	1	-0.58691	-2.512	0.44325	0.95696	0.012004	0.060357
Defb22	4	-0.031333	-0.12329	0.98368	0.99696	0.90188	0.99994	0.087059	0.33659	0.066684	0.62524	0.73643	1	-0.53537	-2.0689	0.52605	0.96626	0.038558	0.12957
Cyp3a41b	4	-0.47949	-1.4345	0.094333	0.42785	0.15144	0.99994	-0.09799	-0.2877	0.19238	0.84092	0.77357	1	-0.075607	-0.22192	0.48219	0.96377	0.82438	0.91703
Cyp3a11	4	0.01904	0.06885	0.79487	0.97457	0.94511	0.99994	-0.068296	-0.24136	0.40524	0.95463	0.80928	1	-0.89068	-3.1308	0.13337	0.88953	0.0017436	0.017574
Vmn2r78	4	0.19702	0.98734	0.13001	0.51263	0.32348	0.99994	0.046635	0.22869	0.25723	0.90197	0.81911	1	-0.37622	-1.843	0.84513	0.99551	0.065328	0.18338
Fam187b	4	-0.01794	-0.17635	0.95761	0.99289	0.86002	0.99994	0.06747	0.65178	0.1353	0.77836	0.51454	1	-0.35734	-3.4511	0.88834	0.99823	0.00055823	0.0087241
Tnfsf9	4	0.046509	0.14705	0.66633	0.94542	0.88309	0.99994	-0.073191	-0.2254	0.35959	0.93726	0.82167	1	-0.063604	-0.19559	0.4584	0.95913	0.84493	0.93049
Dnajc5b	4	0.090336	0.33905	0.46841	0.86608	0.73458	0.99994	-0.038864	-0.1422	0.73128	0.98741	0.88692	1	-0.28442	-1.0382	0.94318	0.99908	0.29916	0.49855
BC030867	4	0.20318	0.78662	0.11817	0.48437	0.43151	0.99994	0.013946	0.052679	0.57103	0.98389	0.95799	1	-0.49332	-1.8593	0.6	0.97041	0.062985	0.17882
Car10	4	0.30081	0.91495	0.018958	0.15262	0.36022	0.99994	-0.071123	-0.21153	0.37703	0.94034	0.83247	1	0.0057737	0.017168	0.33464	0.93533	0.9863	1
Kif11	4	-2.5876	-5.0693	0	0	3.9925e-07	5.5711e-05	-0.0064834	-0.012512	0.82948	0.98741	0.99002	1	-1.6296e-05	-3.141e-05	0.34348	0.93533	0.99997	1
Tex13c1	4	0.070298	0.39481	0.55756	0.91348	0.69298	0.99994	0.028817	0.15906	0.40971	0.95577	0.87362	1	-0.65959	-3.6404	0.34338	0.93533	0.00027222	0.0055387
Dyrk2	4	-0.12967	-0.50283	0.63436	0.93928	0.61508	0.99994	0.023931	0.090875	0.45962	0.9681	0.92759	1	-0.71931	-2.7255	0.27111	0.93533	0.0064195	0.04061
Immt	4	-0.54434	-1.4878	0.065464	0.34475	0.13681	0.99994	-0.046071	-0.12351	0.64396	0.98664	0.9017	1	-0.48834	-1.3084	0.60864	0.97113	0.19075	0.3731
Kcnk13	4	-0.032586	-0.13499	0.97809	0.99633	0.89262	0.99994	0.071846	0.2917	0.11675	0.75171	0.77052	1	-0.73253	-2.9662	0.25794	0.93533	0.0030149	0.025081
Vmn2r66	4	0.036341	0.17293	0.71461	0.95718	0.8627	0.99994	0.010948	0.050833	0.60635	0.98614	0.95946	1	-0.41201	-1.905	0.76691	0.98651	0.056784	0.16697
H2-M10.5	4	-0.089285	-0.36997	0.76508	0.96768	0.71141	0.99994	-0.037623	-0.15232	0.74689	0.98741	0.87893	1	-0.39124	-1.5805	0.81423	0.99313	0.114	0.26601
Ewsr1	4	-0.54857	-1.448	0.0646	0.3425	0.14763	0.99994	-0.12483	-0.32435	0.089149	0.69383	0.74567	1	-1.0042	-2.6098	0.080864	0.80462	0.0090597	0.050711
Cfap36	4	0.1485	1.0738	0.25403	0.6999	0.28292	0.99994	0.0031002	0.021847	0.70262	0.98741	0.98257	1	-0.41154	-2.8879	0.76773	0.98651	0.0038784	0.02952
Olfr1213	4	0.25797	0.81852	0.045235	0.27359	0.41306	0.99994	0.039396	0.12197	0.31441	0.93395	0.90292	1	-0.74672	-2.303	0.24376	0.93533	0.02128	0.087725
Sco1	4	-1.251	-2.4395	0.0013723	0.021757	0.014707	0.24903	-0.48738	-0.92661	0	0	0.35413	1	-0.26897	-0.51074	0.90856	0.99908	0.60954	0.77247
Clec4a4	4	0.15478	0.5078	0.23649	0.67917	0.6116	0.99994	0.014088	0.045026	0.56956	0.9837	0.96409	1	-0.43454	-1.3831	0.71995	0.98289	0.16664	0.34192
Spcs3	4	-1.758	-3.019	0.0002033	0.0047962	0.002536	0.062841	-0.099087	-0.16732	0.18699	0.83595	0.86712	1	-0.17978	-0.3035	0.7015	0.98021	0.76151	0.8784
Dnajb13	4	0.049306	0.19796	0.65215	0.94127	0.84307	0.99994	-0.0091909	-0.036172	0.86953	0.99183	0.97115	1	-0.46932	-1.8433	0.64615	0.97702	0.065281	0.1833
Hsd17b12	4	-0.98618	-1.7796	0.0053875	0.061556	0.075142	0.80219	-0.10372	-0.18277	0.16295	0.81075	0.85498	1	-1.2199	-2.1482	0.029581	0.64381	0.031699	0.1137
Olfr309	4	0.30033	1.0654	0.01906	0.15325	0.28668	0.99994	0.02644	0.09116	0.43395	0.96454	0.92737	1	-0.54211	-1.8603	0.51461	0.96626	0.062837	0.17856
Slitrk3	4	0.056777	0.25892	0.61825	0.93433	0.7957	0.99994	-0.055718	-0.24957	0.53489	0.97553	0.80292	1	-0.13944	-0.62435	0.61067	0.97171	0.5324	0.712
Smek1	4	-0.89943	-2.1186	0.009047	0.090081	0.034126	0.46369	-0.052241	-0.12071	0.57377	0.98516	0.90392	1	-0.77281	-1.7852	0.21916	0.93533	0.074227	0.19927
Gm4567	4	-2.0134	-4.0027	0.00010165	0.0038462	6.2617e-05	0.0028651	-0.33172	-0.64883	0.0002033	0.017167	0.51645	1	-0.32567	-0.63724	0.96213	0.99908	0.52397	0.70548
Ncapg	4	-0.98232	-2.1783	0.0055909	0.06311	0.029386	0.41416	-0.016215	-0.035152	0.9662	0.99661	0.97196	1	-0.8906	-1.9289	0.13342	0.88953	0.053743	0.16107
Trp53bp2	4	-0.074812	-0.27874	0.81759	0.97984	0.78044	0.99994	-0.11322	-0.4144	0.12473	0.76759	0.67858	1	-0.60824	-2.2251	0.41078	0.95255	0.026073	0.10018
Mrpl16	4	-1.1953	-2.3173	0.0015756	0.023503	0.020486	0.31663	-0.12354	-0.23432	0.092249	0.69965	0.81474	1	-0.24381	-0.46215	0.85281	0.99624	0.64397	0.79738
Vmn1r86	4	0.016682	0.057656	0.80625	0.97724	0.95402	0.99994	-0.038429	-0.12951	0.73652	0.98741	0.89695	1	-0.034967	-0.11775	0.4028	0.95055	0.90626	0.9671
Vmn1r77	4	-0.16074	-0.54099	0.54897	0.90853	0.58852	0.99994	0.0001798	0.00059449	0.73942	0.98741	0.99953	1	-0.22677	-0.74938	0.81123	0.99313	0.45363	0.64485
Prrt2	4	0.12405	0.51564	0.33733	0.77947	0.60611	0.99994	0.0070265	0.028627	0.65316	0.98741	0.97716	1	-0.35772	-1.4567	0.88762	0.99823	0.14521	0.31166
Olfr1306	4	-0.093462	-0.35724	0.75009	0.96476	0.72091	0.99994	0.00013397	0.00050176	0.74003	0.98741	0.9996	1	-0.082641	-0.30939	0.49469	0.96377	0.75702	0.87542
Anks4b	4	0.083003	0.61606	0.49931	0.88353	0.53786	0.99994	0.093713	0.68152	0.052249	0.5689	0.49554	1	0.019797	0.14397	0.31258	0.93533	0.88553	0.95516
Kcnrg	4	0.17073	0.68901	0.19299	0.62297	0.49081	0.99994	0.049507	0.19529	0.23629	0.88071	0.84517	1	-0.45415	-1.7895	0.67624	0.979	0.073532	0.19829
Ibsp	4	0.07465	0.24159	0.53743	0.90378	0.8091	0.99994	-0.055116	-0.17388	0.54074	0.9774	0.86196	1	-0.41914	-1.3194	0.75197	0.9852	0.18702	0.36838
Tmem106b	4	0.030593	0.087603	0.74043	0.96199	0.93019	0.99994	-0.039758	-0.11117	0.72025	0.98741	0.91148	1	-0.92548	-2.572	0.11426	0.85638	0.010112	0.054239
Cwc15	4	-0.75373	-1.9382	0.020127	0.15961	0.052602	0.62953	0.034528	0.086983	0.3567	0.93726	0.93068	1	-0.10001	-0.25186	0.5292	0.96626	0.80115	0.90413
Rhoa	4	-0.63176	-1.6452	0.039593	0.25243	0.099919	0.94818	-0.024091	-0.0616	0.92513	0.99601	0.95088	1	0.31701	0.81058	0.052554	0.75087	0.41761	0.61459
Tbc1d2	4	-0.10134	-0.31901	0.7233	0.95808	0.74972	0.99994	-0.040479	-0.12526	0.71217	0.98741	0.90032	1	-0.46525	-1.4392	0.65372	0.97855	0.1501	0.31855
Olfr1484	4	0.051129	0.25653	0.64488	0.9395	0.79754	0.99994	-0.011185	-0.055041	0.89875	0.99524	0.95611	1	-0.75544	-3.7118	0.23426	0.93533	0.00020579	0.0045953
Tpmt	4	-0.17762	-0.74466	0.50496	0.88524	0.45648	0.99994	-0.021144	-0.086643	0.96544	0.99633	0.93096	1	-0.24542	-1.004	0.85657	0.99624	0.31537	0.51574
Pbrm1	4	0.26477	0.65292	0.040305	0.25523	0.51381	0.99994	0.070705	0.16982	0.12224	0.76595	0.86515	1	-1.3443	-3.211	0.014994	0.51573	0.0013225	0.014759
Xlr3a	4	-0.042491	-0.1683	0.93906	0.99254	0.86635	0.99994	-0.072913	-0.28302	0.36158	0.93726	0.77716	1	-0.65419	-2.5344	0.34928	0.93742	0.011266	0.05813
Xlr3b	4	-0.19255	-0.78881	0.46953	0.86664	0.43022	0.99994	0.070651	0.28466	0.12239	0.76595	0.77591	1	-0.46881	-1.888	0.64706	0.97705	0.059026	0.17111
Olfr1122	4	0.039748	0.17328	0.6985	0.95361	0.86243	0.99994	-0.0015985	-0.0068254	0.7633	0.98741	0.99455	1	-0.02556	-0.10911	0.38648	0.94433	0.91311	0.97071
Cx3cr1	4	0.0077295	0.028484	0.84727	0.98424	0.97728	0.99994	-0.065913	-0.23733	0.42968	0.96287	0.8124	1	-0.84337	-3.0205	0.16315	0.9094	0.0025237	0.022347
Srgn	4	0.19045	0.51364	0.14414	0.53968	0.60751	0.99994	-0.020217	-0.052797	0.9783	0.99772	0.95789	1	0.28586	0.74857	0.065006	0.77017	0.45411	0.64534
Idi1	4	-0.74914	-1.3712	0.020991	0.16513	0.1703	0.99994	0.064572	0.11453	0.14775	0.7946	0.90882	1	-0.28178	-0.49892	0.93698	0.99908	0.61784	0.77828
Tmtc1	4	-0.071556	-0.27598	0.82989	0.98119	0.78256	0.99994	-0.021783	-0.082107	0.95781	0.99628	0.93456	1	-0.77575	-2.9181	0.21642	0.93533	0.0035222	0.027787
Lmntd2	4	-0.043882	-0.22034	0.93321	0.99254	0.82561	0.99994	0.036077	0.17773	0.34241	0.93619	0.85894	1	-0.75266	-3.7025	0.23726	0.93533	0.0002135	0.0047349
Nemp1	4	-0.1594	-0.57283	0.55222	0.9102	0.56676	0.99994	0.13807	0.48752	0.0072681	0.19861	0.62589	1	-0.95835	-3.3809	0.099111	0.8385	0.00072255	0.010287
Mrpl45	4	-1.3421	-2.382	0.00071156	0.012635	0.017219	0.27952	-0.19172	-0.33016	0.010368	0.2449	0.74128	1	-0.18711	-0.32171	0.71746	0.98289	0.74767	0.86931
Cdkn2aip	4	-0.11688	-0.34291	0.67314	0.948	0.73167	0.99994	-0.050873	-0.14613	0.58922	0.98614	0.88382	1	-0.95591	-2.7377	0.10003	0.8385	0.0061879	0.039589
Rps27l	4	-0.39451	-1.2464	0.15649	0.5633	0.21261	0.99994	-0.12862	-0.39758	0.079593	0.66244	0.69094	1	-0.51167	-1.5789	0.56691	0.96858	0.11435	0.2665
Itch	4	0.27974	1.3552	0.029581	0.20815	0.17536	0.99994	0.024617	0.1167	0.45372	0.9681	0.9071	1	-0.46912	-2.2213	0.64645	0.97705	0.026334	0.10092
Alad	4	-0.71268	-1.6507	0.025362	0.1888	0.098795	0.94542	-0.56139	-1.2743	0	0	0.20254	1	-1.12	-2.5419	0.047217	0.73891	0.011025	0.057294
4833423E24Rik	4	0.2836	1.0324	0.027548	0.19941	0.30188	0.99994	-0.0766	-0.27097	0.33301	0.93497	0.78642	1	-0.1547	-0.54577	0.64437	0.97668	0.58522	0.75393
Gabrg3	4	0.11344	0.39479	0.37677	0.8106	0.693	0.99994	0.0065848	0.022369	0.65901	0.98741	0.98215	1	0.1759	0.59779	0.13474	0.89028	0.54998	0.72506
Pcdh11x	4	0.31182	1.5056	0.014028	0.12316	0.13216	0.99994	-0.079961	-0.37625	0.30673	0.92789	0.70673	1	-0.23559	-1.107	0.83324	0.99382	0.26831	0.46556
Olfr790	4	0.21875	0.74665	0.091537	0.41991	0.45527	0.99994	-0.035912	-0.11992	0.76828	0.98741	0.90454	1	0.049791	0.16626	0.2677	0.93533	0.86795	0.94484
Grhl1	4	0.068798	0.24236	0.56468	0.91538	0.8085	0.99994	0.051502	0.17745	0.22216	0.86675	0.85915	1	-0.29362	-1.0102	0.96549	0.99908	0.31241	0.51286
Lyar	4	-0.1998	-0.57984	0.45194	0.85731	0.56202	0.99994	-0.11214	-0.31868	0.12844	0.77148	0.74997	1	-0.70233	-1.9925	0.29108	0.93533	0.046316	0.14599
Fbxl13	4	0.077076	0.35532	0.52559	0.8968	0.72235	0.99994	-0.0018888	-0.0084621	0.76686	0.98741	0.99325	1	-0.27255	-1.2179	0.91675	0.99908	0.22328	0.41408
Fbxo9	4	0.020296	0.1171	0.78928	0.97387	0.90678	0.99994	-0.030447	-0.17243	0.84041	0.98799	0.8631	1	-0.5677	-3.2114	0.47329	0.96169	0.0013209	0.014758
Adam20	4	0.11614	0.6692	0.36752	0.80443	0.50337	0.99994	-0.0065812	-0.037139	0.83105	0.98741	0.97037	1	0.14248	0.80408	0.16285	0.9094	0.42135	0.61786
