id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Xrcc2	4	0.00022121	0.0008425	0.198437	82	4	-2.0207	0.99978	0.99978	1.0	19273	0	-2.0207
Slc2a1	4	0.00022521	0.00085224	0.198437	83	4	-2.4318	0.98564	0.98561	1.0	18745	0	-2.4318
Elmo2	4	0.00022986	0.00087273	0.198646	84	4	-2.3827	0.99977	0.99977	1.0	19272	0	-2.3827
Ube2k	4	0.00023182	0.00087785	0.198646	85	4	-1.9928	0.99977	0.99977	1.0	19271	0	-1.9928
Wdr26	4	0.00023622	0.00089015	0.198646	86	4	-3.1311	0.99916	0.99915	1.0	19207	0	-3.1311
Ccs	4	0.00023802	0.00089424	0.198646	87	4	-2.9441	0.98642	0.98637	1.0	18764	0	-2.9441
Vps16	4	0.00024642	0.0009214	0.200078	88	4	-1.9376	0.99975	0.99975	1.0	19269	0	-1.9376
Tmem41b	4	0.00024642	0.0009214	0.200078	89	4	-1.7874	0.99975	0.99975	1.0	19270	0	-1.7874
Tgtp1	4	0.00025136	0.0009424	0.202365	90	3	-2.4405	0.49982	0.49948	1.0	9173	0	-2.4405
Ero1l	4	0.00026497	0.00099056	0.20808	91	3	-1.9694	0.96012	0.96011	1.0	18139	0	-1.9694
Arid2	4	0.00026805	0.0010013	0.20808	92	4	-2.7695	0.99973	0.99973	1.0	19268	0	-2.7695
Arl14epl	4	0.00027845	0.0010377	0.211995	93	3	-2.6469	0.78249	0.78229	1.0	14471	0	-2.6469
Ar	4	0.00028301	0.001052	0.211995	94	3	-2.6249	0.97892	0.97903	1.0	18576	0	-2.6249
Birc2	4	0.0002833	0.0010531	0.211995	95	3	-2.1154	0.76012	0.75982	1.0	14082	0	-2.1154
Ak2	4	0.00028857	0.0010741	0.213994	96	4	-2.1131	0.99971	0.99971	1.0	19266	0	-2.1131
Rnf31	4	0.00029515	0.0011007	0.217064	97	3	-2.8095	0.86127	0.86104	1.0	16047	0	-2.8095
Prl2c3	4	0.00030201	0.0011253	0.219672	98	3	-2.8205	0.94612	0.94613	1.0	17825	0	-2.8205
Hsd17b4	4	0.0003065	0.0011402	0.220347	99	4	-2.0323	0.99969	0.99969	1.0	19265	0	-2.0323
Tas2r104	4	0.00031251	0.0011642	0.222772	100	2	-1.3695	0.67265	0.67246	1.0	12409	0	-1.3695
Asxl2	4	0.00032287	0.0011996	0.22539	101	3	-2.8278	0.64642	0.64621	1.0	11918	0	-2.8278
Sox4	4	0.00032686	0.0012119	0.22539	102	4	-3.0059	0.99924	0.99923	1.0	19217	0	-3.0059
Brd7	4	0.00032706	0.0012129	0.22539	103	4	-2.4784	0.99913	0.99912	1.0	19203	0	-2.4784
Matr3	3	0.00033243	0.00098288	0.20808	104	3	-2.6026	0.99967	0.99966	1.0	19264	0	-2.6026
Boll	4	0.00033864	0.0012516	0.229357	105	4	-2.1912	0.99966	0.99966	1.0	19263	0	-2.1912
Usp19	4	0.00033958	0.001258	0.229357	106	4	-2.6534	0.99966	0.99966	1.0	19262	0	-2.6534
Gosr1	4	0.0003488	0.0012826	0.231655	107	3	-0.85821	0.90838	0.90838	1.0	17033	0	-0.85821
Tbc1d10b	4	0.00035991	0.0013241	0.236936	108	3	-3.0331	0.71089	0.71052	1.0	13145	0	-3.0331
Smgc	4	0.00036667	0.0013574	0.240667	109	4	-2.3473	0.99963	0.99963	1.0	19260	0	-2.3473
Gne	4	0.00038139	0.0014101	0.244587	110	4	-1.9902	0.99962	0.99961	1.0	19259	0	-1.9902
Pak2	4	0.00038929	0.0014342	0.244587	111	4	-2.1586	0.99961	0.99961	1.0	19258	0	-2.1586
Uba6	4	0.00038929	0.0014342	0.244587	112	4	-2.219	0.99961	0.99961	1.0	19257	0	-2.219
Vps11	4	0.00039882	0.001468	0.244587	113	4	-2.0662	0.9996	0.9996	1.0	19256	0	-2.0662
Nans	4	0.00039981	0.0014721	0.244587	114	4	-2.1061	0.9996	0.9996	1.0	19255	0	-2.1061
Pip5k1c	4	0.00040246	0.0014793	0.244587	115	3	-1.4354	0.80029	0.80016	1.0	14824	0	-1.4354
Spen	4	0.00040323	0.0014829	0.244587	116	4	-2.1355	0.9996	0.99959	1.0	19254	0	-2.1355
Fhod3	4	0.00040972	0.001509	0.244587	117	3	-2.7293	0.78299	0.78279	1.0	14481	0	-2.7293
Tgif2	4	0.00041372	0.0015249	0.244587	118	4	-2.3152	0.99959	0.99959	1.0	19253	0	-2.3152
Cnot11	4	0.00041403	0.0015259	0.244587	119	4	-2.757	0.99952	0.99952	1.0	19245	0	-2.757
Tgif1	4	0.00041809	0.0015392	0.244587	120	4	-2.5847	0.99958	0.99958	1.0	19252	0	-2.5847
Mylip	4	0.00041988	0.0015439	0.244587	121	2	-1.6797	0.53773	0.53722	1.0	9896	0	-1.6797
Faxc	4	0.00042433	0.0015551	0.244587	122	3	-2.7732	0.80783	0.80773	1.0	14976	0	-2.7732
Carm1	4	0.00042472	0.0015567	0.244587	123	4	-2.029	0.99958	0.99958	1.0	19251	0	-2.029
Mrgbp	4	0.00043692	0.0016033	0.246481	124	4	-1.6133	0.99956	0.99956	1.0	19250	0	-1.6133
Eri1	4	0.00043857	0.0016079	0.246481	125	4	-2.9326	0.99951	0.99951	1.0	19244	0	-2.9326
Xrcc4	4	0.0004438	0.0016315	0.246481	126	3	-2.8912	0.60194	0.6016	1.0	11086	0	-2.8912
Hsbp1	4	0.00044443	0.0016325	0.246481	127	4	-2.613	0.99956	0.99955	1.0	19249	0	-2.613
Hist2h2bb	4	0.00045395	0.0016776	0.251324	128	4	-2.1101	0.99955	0.99955	1.0	19248	0	-2.1101
Gss	4	0.00046311	0.0017104	0.25376	129	4	-2.6964	0.99703	0.99705	1.0	19087	0	-2.6964
Ddx31	4	0.00046532	0.0017201	0.25376	130	4	-1.8183	0.99953	0.99954	1.0	19247	0	-1.8183
Fis1	4	0.00047129	0.0017447	0.255438	131	4	-2.621	0.99873	0.9987	1.0	19178	0	-2.621
Spns1	4	0.00047855	0.0017683	0.256942	132	4	-2.8638	0.99952	0.99952	1.0	19246	0	-2.8638
Arid1a	4	0.00049741	0.0018364	0.263696	133	4	-2.3082	0.9995	0.9995	1.0	19243	0	-2.3082
Gigyf2	4	0.00049884	0.001842	0.263696	134	3	-2.6944	0.96043	0.96043	1.0	18147	0	-2.6944
Cdk4	4	0.0005036	0.0018569	0.263869	135	4	-1.8271	0.9995	0.9995	1.0	19242	0	-1.8271
Pus7l	4	0.00050976	0.0018723	0.264111	136	2	-0.18731	0.34532	0.34481	1.0	6317	0	-0.18731
Pde7a	4	0.00051314	0.0018907	0.264342	137	4	-2.5791	0.99949	0.99949	1.0	19241	0	-2.5791
Arhgap21	4	0.00052148	0.001923	0.264342	138	3	-2.7283	0.97393	0.97405	1.0	18450	0	-2.7283
Rfxap	4	0.00052192	0.0019245	0.264342	139	2	-1.5896	0.69612	0.69586	1.0	12879	0	-1.5896
Cfhr2	4	0.00052309	0.0019286	0.264342	140	4	-2.0445	0.99948	0.99948	1.0	19240	0	-2.0445
Ptk2	4	0.00053103	0.0019558	0.266176	141	4	-1.7756	0.99947	0.99947	1.0	19238	0	-1.7756
Msgn1	4	0.00053772	0.0019798	0.266473	142	4	-1.5802	0.99946	0.99947	1.0	19237	0	-1.5802
Mtch1	4	0.00054305	0.0019957	0.266473	143	4	-2.4354	0.99946	0.99946	1.0	19236	0	-2.4354
Dspp	4	0.00054784	0.0020131	0.266479	144	4	-2.5465	0.99945	0.99946	1.0	19235	0	-2.5465
Zc3h18	4	0.00055498	0.0020377	0.267293	145	4	-2.0767	0.99945	0.99945	1.0	19234	0	-2.0767
Padi4	4	0.00055654	0.002047	0.267293	146	4	-2.1072	0.99944	0.99945	1.0	19233	0	-2.1072
Vps39	3	0.0005628	0.0016197	0.246481	147	3	-2.2902	0.99944	0.99945	1.0	19232	0	-2.2902
Pdap1	4	0.00056318	0.0020777	0.267888	148	4	-1.6099	0.99944	0.99944	1.0	19231	0	-1.6099
Crygc	4	0.0005634	0.0020792	0.267888	149	2	-0.5628	0.49224	0.49195	1.0	9038	0	-0.5628
Strada	4	0.0005685	0.0021054	0.268718	150	4	-2.3807	0.99943	0.99944	1.0	19230	0	-2.3807
Ppp4r2	4	0.00057266	0.0021187	0.268718	151	4	-1.8473	0.99943	0.99944	1.0	19229	0	-1.8473
Hes7	4	0.00057542	0.0021274	0.268718	152	3	-2.8584	0.5564	0.55582	1.0	10248	0	-2.8584
Cnot8	4	0.00059543	0.0021878	0.270841	153	3	-2.7936	0.96584	0.96585	1.0	18281	0	-2.7936
Tial1	4	0.00059646	0.0021899	0.270841	154	4	-1.7637	0.9994	0.99941	1.0	19228	0	-1.7637
Vps50	4	0.00059831	0.0021996	0.270841	155	4	-1.5598	0.9994	0.99941	1.0	19227	0	-1.5598
Cd44	4	0.00060184	0.0022114	0.270841	156	3	-2.0569	0.74914	0.74882	1.0	13867	0	-2.0569
Arf6	4	0.00060968	0.0022401	0.270841	157	4	-1.972	0.99939	0.9994	1.0	19226	0	-1.972
Gtf2i	4	0.00061163	0.0022473	0.270841	158	3	-2.6557	0.65529	0.65508	1.0	12081	0	-2.6557
Hspb7	4	0.00061634	0.0022652	0.270841	159	3	-2.4376	0.78398	0.78379	1.0	14499	0	-2.4376
Olfr523	4	0.00061705	0.0022703	0.270841	160	2	-0.5112	0.21114	0.21605	1.0	3933	1	-0.5112
Ube2j2	4	0.00063313	0.0023231	0.275436	161	3	-2.704	0.94711	0.94714	1.0	17849	0	-2.704
Lamtor1	4	0.00065279	0.0023907	0.281725	162	3	-2.6817	0.66366	0.66338	1.0	12238	0	-2.6817
Get4	4	0.00066088	0.0024168	0.283078	163	4	-1.8724	0.99934	0.99935	1.0	19224	0	-1.8724
Ezh2	4	0.00066866	0.0024466	0.283609	164	4	-1.6206	0.99933	0.99934	1.0	19223	0	-1.6206
Bpnt1	4	0.00067069	0.0024512	0.283609	165	2	-0.62225	0.20189	0.20769	1.0	3772	1	-0.62225
Ice1	4	0.00067662	0.0024727	0.283609	166	4	-2.1194	0.99932	0.99933	1.0	19222	0	-2.1194
Cmip	4	0.00068074	0.0024916	0.283609	167	4	-2.7663	0.9934	0.99344	1.0	18959	0	-2.7663
Rgp1	4	0.00068676	0.0025126	0.283609	168	3	-2.663	0.40515	0.40493	1.0	7435	0	-2.663
Vmn2r72	4	0.00069355	0.0025388	0.283609	169	4	-2.709	0.9963	0.99631	1.0	19058	0	-2.709
Dpf2	4	0.00069389	0.0025388	0.283609	170	4	-2.4354	0.99931	0.99931	1.0	19220	0	-2.4354
Inppl1	3	0.00069885	0.0019993	0.266473	171	3	-2.1735	0.9993	0.99931	1.0	19219	0	-2.1735
Zfc3h1	4	0.00070011	0.0025598	0.284312	172	4	-1.8492	0.9993	0.99931	1.0	19218	0	-1.8492
Slc39a2	4	0.00072433	0.0026479	0.292419	173	1	0.037596	0.79811	0.79801	1.0	14774	0	0.037596
Eif2ak4	4	0.00073064	0.002671	0.293289	174	4	-2.8255	0.99792	0.99791	1.0	19128	0	-2.8255
Impg1	4	0.00077217	0.0028139	0.304562	175	2	-1.859	0.9747	0.97482	1.0	18469	0	-1.859
Serbp1	4	0.00078226	0.0028492	0.304562	176	4	-1.6057	0.99922	0.99921	1.0	19216	0	-1.6057
Dnaja2	4	0.00078729	0.0028646	0.304562	177	4	-2.4083	0.99921	0.99921	1.0	19215	0	-2.4083
Cramp1l	4	0.00078843	0.0028677	0.304562	178	4	-1.8955	0.99921	0.99921	1.0	19214	0	-1.8955
Srsf10	3	0.00078883	0.0022503	0.270841	179	3	-2.504	0.99921	0.99922	1.0	19213	0	-2.504
Pan3	4	0.00080075	0.0029128	0.304562	180	4	-1.823	0.9992	0.99919	1.0	19212	0	-1.823
Batf2	4	0.00080151	0.0029148	0.304562	181	4	-1.7017	0.9992	0.99919	1.0	19211	0	-1.7017
Kmt2c	4	0.00080386	0.0029245	0.304562	182	3	-2.6947	0.1866	0.19421	1.0	3534	1	-2.6947
Rfwd2	4	0.00080386	0.0029245	0.304562	183	4	-2.6274	0.99453	0.99455	1.0	18997	0	-2.6274
Zfp273	4	0.00080741	0.0029312	0.304562	184	4	-2.3317	0.99919	0.99919	1.0	19210	0	-2.3317
Ciapin1	4	0.00081813	0.0029635	0.306269	185	4	-2.1914	0.99918	0.99917	1.0	19209	0	-2.1914
Txndc15	4	0.00082411	0.0029876	0.306747	186	3	-2.6695	0.61493	0.61463	1.0	11341	0	-2.6695
Atp5d	4	0.00082791	0.0029999	0.306747	187	4	-1.4613	0.99917	0.99917	1.0	19208	0	-1.4613
Ccar1	4	0.00085697	0.0031121	0.313712	188	4	-1.9134	0.99914	0.99913	1.0	19206	0	-1.9134
Arhgap11a	4	0.00085832	0.0031167	0.313712	189	4	-2.5443	0.99225	0.99228	1.0	18923	0	-2.5443
Cyfip1	4	0.00086384	0.0031356	0.313811	190	4	-1.955	0.99914	0.99913	1.0	19205	0	-1.955
Meioc	4	0.00086954	0.0031582	0.313811	191	4	-2.0846	0.99913	0.99913	1.0	19204	0	-2.0846
Pitx2	4	0.00087135	0.0031664	0.313811	192	3	-2.604	0.95526	0.95525	1.0	18024	0	-2.604
Kat7	3	0.0008816	0.0024998	0.283609	193	3	-2.3089	0.99912	0.99913	1.0	19202	0	-2.3089
Rnf2	4	0.00088284	0.0032171	0.314606	194	2	-1.547	0.62467	0.62445	1.0	11518	0	-1.547
Tmem165	4	0.00088524	0.0032232	0.314606	195	3	-2.347	0.16073	0.17172	1.0	3119	1	-2.347
Gm21541	4	0.00090793	0.0032862	0.31863	196	4	-1.765	0.99909	0.99909	1.0	19201	0	-1.765
Tgs1	4	0.00091441	0.0033113	0.31863	197	4	-1.9385	0.99909	0.99908	1.0	19200	0	-1.9385
Clcnka	4	0.00091497	0.0033139	0.31863	198	4	-1.9451	0.99909	0.99908	1.0	19199	0	-1.9451
Atg3	4	0.00093888	0.0034025	0.325532	199	2	0.46983	0.0070268	0.014954	0.813567	337	2	0.46983
Taf1b	4	0.00094556	0.0034235	0.325928	200	4	-1.6224	0.99905	0.99905	1.0	19198	0	-1.6224
2700049A03Rik	4	0.00095134	0.0034486	0.326708	201	4	-2.4536	0.98846	0.98847	1.0	18810	0	-2.4536
Stat3	4	0.00095733	0.0034717	0.327288	202	3	-1.9377	0.78992	0.78977	1.0	14617	0	-1.9377
Pigu	4	0.00097187	0.0035219	0.329792	203	4	-1.7716	0.99903	0.99902	1.0	19197	0	-1.7716
Crlf3	4	0.00097642	0.0035347	0.329792	204	4	-2.1542	0.9943	0.99434	1.0	18990	0	-2.1542
Uchl5	3	0.00098156	0.002776	0.303099	205	3	-2.0852	0.99902	0.99904	1.0	19196	0	-2.0852
Larp4	4	0.00098404	0.0035598	0.329792	206	4	-2.1839	0.99902	0.99901	1.0	19195	0	-2.1839
Nln	4	0.00099251	0.0035931	0.329792	207	1	0.5326	0.4724	0.47219	1.0	8657	0	0.5326
Rsph1	4	0.00099542	0.0036018	0.329792	208	4	-1.6536	0.999	0.999	1.0	19194	0	-1.6536
Gpx4	4	0.00099949	0.0036177	0.329792	209	3	-2.5798	0.86984	0.86969	1.0	16235	0	-2.5798
Sprr2e	4	0.00099949	0.0036177	0.329792	210	4	-2.6667	0.99509	0.99509	1.0	19013	0	-2.6667
Rnf38	4	0.0010336	0.0037443	0.335006	211	4	-1.809	0.99897	0.99895	1.0	19193	0	-1.809
Uvrag	4	0.0010461	0.003797	0.335088	212	3	-1.4399	0.91722	0.91729	1.0	17227	0	-1.4399
Tk2	4	0.0010515	0.0038165	0.335088	213	4	-2.4052	0.99587	0.99585	1.0	19043	0	-2.4052
Zfp931	4	0.0010554	0.0038319	0.335088	214	4	-2.0614	0.99894	0.99893	1.0	19190	0	-2.0614
Vps4b	4	0.0010722	0.0038944	0.33902	215	4	-2.7436	0.99618	0.99618	1.0	19051	0	-2.7436
Tbc1d24	4	0.0010856	0.0039435	0.341762	216	4	-1.4115	0.99891	0.9989	1.0	19189	0	-1.4115
Htatsf1	3	0.0010882	0.003089	0.313712	217	3	-1.978	0.99891	0.99894	1.0	19188	0	-1.978
Pstpip2	4	0.0010998	0.0039958	0.343753	218	1	0.11269	0.42216	0.42193	1.0	7745	0	0.11269
Pxdn	4	0.0011023	0.0040025	0.343753	219	2	-1.1313	0.407	0.40679	1.0	7462	0	-1.1313
Ube2a	4	0.0011077	0.0040199	0.343753	220	3	-1.8675	0.43671	0.43646	1.0	8004	0	-1.8675
Taf4	3	0.0011333	0.0032058	0.314606	221	3	-2.1877	0.99887	0.99889	1.0	19187	0	-2.1877
Eif3j1	4	0.0011368	0.0041162	0.350438	222	4	-1.7111	0.99886	0.99884	1.0	19186	0	-1.7111
Trip13	4	0.0011463	0.0041526	0.350757	223	4	-2.6236	0.98176	0.98174	1.0	18639	0	-2.6236
Hagh	4	0.001151	0.0041713	0.350757	224	3	-1.8922	0.15498	0.16679	1.0	3026	1	-1.8922
Xylb	4	0.0011534	0.0041813	0.350757	225	1	0.46831	0.49729	0.49693	1.0	9128	0	0.46831
Atg16l1	4	0.0011568	0.0041925	0.350757	226	4	-2.3996	0.98983	0.9898	1.0	18841	0	-2.3996
Vkorc1l1	4	0.0011636	0.0042171	0.351293	227	3	-2.061	0.24107	0.24345	1.0	4437	1	-2.061
Rsl1	4	0.0011759	0.0042581	0.353185	228	4	-1.6923	0.99882	0.9988	1.0	19185	0	-1.6923
Cep57	4	0.0011824	0.0042781	0.353326	229	4	-1.5788	0.99882	0.9988	1.0	19184	0	-1.5788
Cwf19l1	4	0.0011907	0.0043068	0.354182	230	3	-2.2634	0.56341	0.56291	1.0	10383	0	-2.2634
